locality_id,lat,long,locality
213,-38.23413976,144.3707843,ARMSTRONG CREEK
214,-38.21558906,144.3683696,CHARLEMONT
215,-37.8495,145.109,DEAKIN UNIVERSITY
216,-38.27029834,144.249583,FRESHWATER CREEK
217,-38.24983474,144.3127944,MOUNT DUNEED
218,-38.13028025,144.2894883,FYANSFORD
219,-38.138728,144.330986,GEELONG WEST
220,-38.09450396,144.1418215,MURGHEBOLUC
221,-38.1220442,144.223441,STONEHAVEN
222,-38.17277,144.389533,BREAKWATER
223,-38.157038,144.34652,BAREENA
224,-38.181608,144.427419,ANAKIE
225,-38.209921,144.572989,CLIFTON SPRINGS
226,-38.22638039,144.5118946,WALLINGTON
227,-38.13622989,144.6217267,BELLARINE
228,-38.147989,144.668477,INDENTED HEAD
229,-38.202905,144.462401,LEOPOLD
230,-38.17988326,144.4248188,MOOLAP
231,-38.271074,144.614191,POINT LONSDALE
232,-38.263811,144.523761,OCEAN GROVE
233,-38.263052,144.40814,BARWON HEADS
234,-38.307545,144.299978,BELLBRAE
235,-38.409363,144.176397,ANGLESEA
236,-38.459435,144.106892,AIREYS INLET
237,-38.47820971,144.0079299,BIG HILL
238,-38.544977,143.970167,BIG HILL
239,-38.679417,143.671777,APOLLO BAY
240,-38.6791182,143.832394,GREY RIVER
241,-38.63847255,143.8049086,KENNETT RIVER
242,-38.58813123,143.8732037,SEPARATION CREEK
243,-38.69,143.7961,SUGARLOAF
244,-38.6747,143.7986,WONGARRA
245,-38.62497369,143.8493949,WYE RIVER
246,-38.411964,143.924288,BENWERRIN
247,-38.42875898,143.979689,BOONAH
248,-38.521903,143.712384,FORREST
249,-38.716838,143.474392,AIRE VALLEY
250,-38.781787,143.429978,GLENAIRE
251,-38.564014,143.448102,CARLISLE RIVER
252,-38.263005,144.174411,BUCKLEY
253,-38.20363,143.892824,BAMBRA
254,-38.346704,143.740326,BIRREGURRA
255,-38.364034,143.82588,BARWON DOWNS
256,-38.388291,143.557159,ALVIE
257,-38.45296591,143.6947758,GERANGAMETE
258,-38.311513,143.584742,COLAC
259,-38.155186,143.648479,BEEAC
260,-38.146253,143.5923322,CUNDARE
261,-38.289636,143.52228,COROROOKE
262,-38.209584,143.244766,BOOKAAR
263,-38.232443,142.884394,TERANG
264,-38.178237,142.952372,BOORCAN
265,-38.407094,143.133721,BULLAHARRE
266,-38.466647,143.06073,SCOTTS CREEK
267,-38.535802,142.908911,AYRFORD
268,-38.51854992,142.8644071,CURDIEVALE
269,-38.43795764,142.7964155,NULLAWARRE NORTH
270,-38.660637,143.177116,PORT CAMPBELL
271,-38.602117,142.870164,PETERBOROUGH
272,-37.888549,142.98753,DARLINGTON
273,-37.982186,142.853634,MORTLAKE
274,-37.981249,142.660643,HEXHAM
275,-37.960778,142.478612,CARAMUT
276,-38.301794,142.457611,MAILER FLAT
277,-38.0538178,142.481806,MINJAH
278,-38.180923,142.409105,WOOLSTHORPE
279,-38.389835,142.660221,ALLANSFORD
280,-38.278013,142.624719,PURNIM
281,-38.29668931,142.554533,PURNIM WEST
282,-38.214555,142.657483,BALLANGEICH
283,-38.37884,142.482889,DENNINGTON
284,-38.254454,142.630109,BUSHFIELD
285,-38.268176,142.351658,ILLOWA
286,-38.313434,142.328761,CROSSLEY
287,-38.270398,142.119266,ORFORD
288,-38.290199,142.058916,CODRINGTON
289,-37.9711005,141.8361176,CONDAH SWAMP
290,-38.036038,141.963223,KNEBSWORTH
291,-37.98614494,142.0716061,WARRABKOOK
292,-38.059868,142.31953,HAWKESDALE
293,-37.893196,142.227754,GAZETTE
294,-37.99193127,142.1980995,GERRIGERRUP
295,-38.038873,141.051987,NELSON
296,-37.655945,142.527253,GLENTHOMPSON
297,-37.573978,142.312764,DUNKELD
298,-37.743155,142.013356,BYADUK NORTH
299,-38.118855,142.034141,BOCHARA
300,-37.847981,141.706379,BRANXHOLME
301,-37.980868,141.789606,BREAKAWAY CREEK
302,-38.182084,141.952156,BESSIEBELLE
303,-38.235475,141.437227,ALLESTREE
304,-37.82644,141.511007,DIGBY
305,-37.70789,141.549163,MERINO
306,-37.468159,141.229722,CASTERTON
307,-37.6391,141.365747,BAHGALLAH
308,-37.43928729,141.4238728,WANDO BRIDGE
309,-37.586718,141.935665,BULART
310,-37.34896421,142.329907,GRAMPIANS
311,-37.408371,141.687516,BRIT BRIT
312,-37.5733696,141.5443271,MUNTHAM
313,-37.166673,141.451647,HARROW
314,-37.025316,141.269571,CHARAM
315,-36.873961,141.051389,APSLEY
316,-38.087758,143.88056,HESSE
317,-38.021333,143.743305,CRESSY
318,-38.026314,143.520934,BERRYBANK
319,-37.941939,143.375414,LISMORE
320,-37.877452,143.185911,DERRINALLUM
321,-38.018664,144.043058,TEESDALE
322,-37.983701,143.908716,BARUNAH PARK
323,-38.04453757,143.7726902,BARUNAH PLAINS
