,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
78,BURNSIDE HEIGHTS,-37.73218752,144.755657,21,9972585,Burnside Heights,1.6,2022-08-02,1910.5,LOW,0
79,BURNSIDE HEIGHTS,-37.73218752,144.755657,21,9972585,Burnside Heights,2.9,2022-08-01,2859.6,LOW,0
80,FIELDSTONE,-37.75045631,144.649936,22,2151449,Rockbank,3.0,2022-08-02,3000.0,MODERATE,1
81,FIELDSTONE,-37.75045631,144.649936,22,2151449,Rockbank,1.7,2022-07-31,1772.7,LOW,0
82,FIELDSTONE,-37.75045631,144.649936,22,2151449,Rockbank,3.5,2022-08-03,3334.1,MODERATE,1
83,FIELDSTONE,-37.75045631,144.649936,22,2151449,Rockbank,2.4,2022-08-01,2555.6,LOW,0
84,MAMBOURIN,-37.899873,144.556552,23,8348078,Wyndham Vale,3.5,2022-08-03,3313.5,MODERATE,1
85,MAMBOURIN,-37.899873,144.556552,23,8348078,Wyndham Vale,2.2,2022-08-02,2520.4,LOW,0
86,MAMBOURIN,-37.899873,144.556552,23,8348078,Wyndham Vale,3.3,2022-08-01,2924.9,MODERATE,1
87,MAMBOURIN,-37.899873,144.556552,23,8348078,Wyndham Vale,1.6,2022-07-31,1755.1,LOW,0
88,MANOR LAKES,-37.86694209,144.5812323,24,8348078,Wyndham Vale,3.0,2022-08-02,3000.0,MODERATE,1
89,MANOR LAKES,-37.86694209,144.5812323,24,8348078,Wyndham Vale,1.7,2022-07-31,1772.7,LOW,0
90,MANOR LAKES,-37.86694209,144.5812323,24,8348078,Wyndham Vale,3.5,2022-08-03,3334.1,MODERATE,1
91,MANOR LAKES,-37.86694209,144.5812323,24,8348078,Wyndham Vale,2.4,2022-08-01,2555.6,LOW,0
92,ALTONA EAST,-37.835562,144.839704,25,8298607,Altona North,3.0,2022-08-02,3000.0,MODERATE,1
93,ALTONA EAST,-37.835562,144.839704,25,8298607,Altona North,1.7,2022-07-31,1772.7,LOW,0
94,ALTONA EAST,-37.835562,144.839704,25,8298607,Altona North,3.5,2022-08-03,3334.1,MODERATE,1
95,ALTONA EAST,-37.835562,144.839704,25,8298607,Altona North,2.4,2022-08-01,2555.6,LOW,0
96,DERRIMUT,-37.91624,144.64209,26,2144095,Werribee,3.0,2022-08-02,3000.0,MODERATE,1
97,DERRIMUT,-37.91624,144.64209,26,2144095,Werribee,1.7,2022-07-31,1772.7,LOW,0
98,DERRIMUT,-37.91624,144.64209,26,2144095,Werribee,3.5,2022-08-03,3334.1,MODERATE,1
99,DERRIMUT,-37.91624,144.64209,26,2144095,Werribee,2.4,2022-08-01,2555.6,LOW,0
100,LAVERTON NORTH,-37.829923,144.774986,27,2145990,Truganina,3.0,2022-08-02,3000.0,MODERATE,1
101,LAVERTON NORTH,-37.829923,144.774986,27,2145990,Truganina,1.7,2022-07-31,1772.7,LOW,0
102,LAVERTON NORTH,-37.829923,144.774986,27,2145990,Truganina,3.5,2022-08-03,3334.1,MODERATE,1
103,LAVERTON NORTH,-37.829923,144.774986,27,2145990,Truganina,2.4,2022-08-01,2555.6,LOW,0
104,LAVERTON RAAF,-37.932419,144.754147,28,2152819,Point Cook,3.0,2022-08-02,3000.0,MODERATE,1
105,LAVERTON RAAF,-37.932419,144.754147,28,2152819,Point Cook,1.7,2022-07-31,1772.7,LOW,0
106,LAVERTON RAAF,-37.932419,144.754147,28,2152819,Point Cook,3.5,2022-08-03,3334.1,MODERATE,1
107,LAVERTON RAAF,-37.932419,144.754147,28,2152819,Point Cook,2.4,2022-08-01,2555.6,LOW,0
